ID,GENENAME
ENSMUST00000001126.3,Slc46a1
ENSMUST00000001127.10,Poldip2
ENSMUST00000001130.7,Sebox
ENSMUST00000001147.4,Col6a1
ENSMUST00000001148.10,Pcbp3
ENSMUST00000001155.10,Araf
ENSMUST00000001156.7,Cfp
ENSMUST00000001162.9,Uxt
ENSMUST00000001166.13,Cnnm3
ENSMUST00000001171.12,Lman2l
ENSMUST00000001172.11,Ankrd39
ENSMUST00000001179.6,Pcnt
ENSMUST00000001181.12,Col6a2
ENSMUST00000001183.7,Ftcd
ENSMUST00000001184.9,Mxd1
ENSMUST00000001185.13,Gmcl1
ENSMUST00000001186.10,Snrnp27
ENSMUST00000001187.14,Anxa4
ENSMUST00000001202.14,Ocrl
ENSMUST00000001204.7,Calm1
ENSMUST00000001226.10,Sh3bp1
ENSMUST00000001240.11,Agpat3
ENSMUST00000001242.8,Gatd3a
ENSMUST00000001247.11,Rnf32
ENSMUST00000001253.7,Slc26a4
ENSMUST00000001254.5,Slc26a3
ENSMUST00000001256.10,Sema6b
ENSMUST00000001258.14,Uhrf1
ENSMUST00000001279.14,Lsr
ENSMUST00000001280.13,Gramd1a
ENSMUST00000001284.12,Usf1
ENSMUST00000001304.8,Ckb
ENSMUST00000001319.14,Efnb2
ENSMUST00000001326.6,Sp1
ENSMUST00000001327.10,Itgb7
ENSMUST00000001331.12,Myg1
ENSMUST00000001335.6,Pfdn5
ENSMUST00000001339.5,Rrp15
ENSMUST00000001347.6,Rnd2
ENSMUST00000001384.5,Cnn1
ENSMUST00000001402.13,Fbxo9
ENSMUST00000001412.16,Vps50
ENSMUST00000001415.8,Apbb3
ENSMUST00000001416.7,Hars
ENSMUST00000001419.9,Zmat2
ENSMUST00000001439.6,Ube2c
ENSMUST00000001451.10,Smg5
ENSMUST00000001452.13,Cct3
ENSMUST00000001454.13,Glmp
ENSMUST00000001455.12,Mef2d
ENSMUST00000001456.10,Tmem79
ENSMUST00000001460.13,Snd1
ENSMUST00000001479.4,Kpnb1
ENSMUST00000001480.13,Npepps
ENSMUST00000001484.2,Tbx21
ENSMUST00000001485.9,Mrpl10
ENSMUST00000001497.8,Cideb
ENSMUST00000001507.4,Cyp51
ENSMUST00000001513.7,Tubb6
ENSMUST00000001520.12,Afg3l1
ENSMUST00000001522.9,Def8
ENSMUST00000001534.6,Sost
ENSMUST00000001536.8,Nkx2-1
ENSMUST00000001538.9,Pax9
ENSMUST00000001544.11,Vwa5a
ENSMUST00000001547.7,Col1a1
ENSMUST00000001548.13,Itga3
ENSMUST00000001559.10,Itfg2
ENSMUST00000001561.11,Nrip2
ENSMUST00000001562.8,Tulp3
ENSMUST00000001565.14,Gtf2h4
ENSMUST00000001566.9,Tubb5
ENSMUST00000001569.14,Flot1
ENSMUST00000001583.7,Ell2
ENSMUST00000001592.14,Jup
ENSMUST00000001595.9,Fkbp10
ENSMUST00000001599.3,Klhl10
ENSMUST00000001608.7,Mnx1
ENSMUST00000001611.10,Nom1
ENSMUST00000001619.15,Ergic1
ENSMUST00000001620.12,Fxr1
ENSMUST00000001626.9,Tnk1
ENSMUST00000001631.6,Acap1
ENSMUST00000001652.6,Bdkrb2
ENSMUST00000001667.12,Csn3
ENSMUST00000001672.11,Ifrd1
ENSMUST00000001675.13,Stk38l
ENSMUST00000001699.7,Hoxc10
ENSMUST00000001700.6,Hoxc13
ENSMUST00000001701.3,Hoxc11
ENSMUST00000001703.7,Hoxc8
ENSMUST00000001706.6,Hoxc9
ENSMUST00000001709.2,Hoxc5
ENSMUST00000001711.5,Hoxc6
ENSMUST00000001712.7,Cabin1
ENSMUST00000001713.9,Gstt1
ENSMUST00000001715.9,Gstt3
ENSMUST00000001716.7,Ddt
ENSMUST00000001720.13,Tat
ENSMUST00000001722.13,Marveld3
ENSMUST00000001724.11,Ddx18
ENSMUST00000001757.8,Eef1e1
ENSMUST00000001780.9,Akt1
ENSMUST00000001790.5,Cldn15
ENSMUST00000001792.11,Il16
ENSMUST00000001801.10,Tcirg1
ENSMUST00000001802.9,Naglu
ENSMUST00000001806.9,Coasy
ENSMUST00000001809.14,Pabpc1
ENSMUST00000001812.4,Smo
ENSMUST00000001818.4,Crnkl1
ENSMUST00000001824.6,Folh1
ENSMUST00000001825.8,Chordc1
ENSMUST00000001826.14,Naalad2
ENSMUST00000001834.3,Rtcb
ENSMUST00000001836.10,Pwp1
ENSMUST00000001837.13,Fbxo7
ENSMUST00000001845.12,Capns1
ENSMUST00000001854.11,Slc7a10
ENSMUST00000001867.12,Evx2
ENSMUST00000001872.4,Hoxd13
ENSMUST00000001878.5,Hoxd12
ENSMUST00000001884.13,Clpb
ENSMUST00000001900.8,Zdhhc4
ENSMUST00000001920.12,Aif1l
ENSMUST00000001921.2,Cpa3
ENSMUST00000001927.11,Ltbp1
ENSMUST00000001950.11,Tollip
ENSMUST00000001963.13,Ace
ENSMUST00000001964.7,Ace
ENSMUST00000001965.13,Kcnh6
ENSMUST00000001974.10,Trmt1
ENSMUST00000001975.5,Nacc1
ENSMUST00000001984.4,Ceacam9
ENSMUST00000001989.8,Uba1
ENSMUST00000002007.4,Siae
ENSMUST00000002008.6,Vsig2
ENSMUST00000002011.13,Esam
ENSMUST00000002013.10,Spa17
ENSMUST00000002025.4,Tktl2
ENSMUST00000002029.12,Emd
ENSMUST00000002043.9,Ccdc47
ENSMUST00000002044.9,Map3k3
ENSMUST00000002048.7,Taco1
ENSMUST00000002053.8,Npas1
ENSMUST00000002063.14,Ap4e1
ENSMUST00000002064.14,Blvra
ENSMUST00000002073.12,Ltbp2
ENSMUST00000002079.6,Plxnb3
ENSMUST00000002080.11,Pdzd4
ENSMUST00000002081.5,Srpk3
ENSMUST00000002084.13,Abcd1
ENSMUST00000002087.13,Pnck
ENSMUST00000002090.2,Ssr4
ENSMUST00000002091.5,Bcap31
ENSMUST00000002095.10,Kmt2a
ENSMUST00000002099.10,Ift46
ENSMUST00000002100.7,Tmem25
ENSMUST00000002101.11,Cd3g
ENSMUST00000002112.14,Trappc6a
ENSMUST00000002121.4,Supt6
ENSMUST00000002127.13,Unc119
ENSMUST00000002128.13,Rab34
ENSMUST00000002133.8,Sdf2
ENSMUST00000002145.11,Hsf2bp
ENSMUST00000002152.12,Bbc3
ENSMUST00000002171.13,Psmc3
ENSMUST00000002172.13,Acp2
ENSMUST00000002176.12,Celf2
ENSMUST00000002177.8,Nr1h3
ENSMUST00000002180.7,Spi1
ENSMUST00000002198.3,Sf3a1
ENSMUST00000002259.12,Clgn
ENSMUST00000002274.9,Napsa
ENSMUST00000002275.14,Vrk3
